FCFS,WFP3,UNICEF,SJT,SAF,F2,LIN
262.228685,34.466431,19.968868,24.376704,9.734293,6.163188,8.059396
433.922758,63.162936,29.635054,31.525684,8.638492,5.440295,9.542559
552.824251,147.235593,53.746361,24.926583,2.769105,4.747836,6.293466
209.692599,39.59982,8.884858,5.478712,3.51703,3.87428,11.772909
337.436145,25.291751,37.946335,19.158576,7.986915,3.317062,4.252478
475.795093,56.172381,20.778578,15.051442,9.398724,14.356248,27.52232
361.503392,49.205797,10.405398,25.509293,13.393834,2.433486,7.296208
165.587703,12.571318,6.101331,3.913443,2.198292,2.305392,2.745892
159.609523,15.480892,7.653384,6.988747,2.53343,2.609409,4.058129
193.597951,68.599173,42.716107,61.525851,21.214165,20.016037,23.579711
60.925361,5.374357,2.684195,1.793384,2.156821,2.641015,1.920205
772.362405,71.793101,35.549051,23.381344,4.508623,5.322753,6.925455
273.099203,14.379655,5.143779,7.882563,2.505553,3.13833,4.045955
96.863896,10.066271,6.299334,5.047933,4.402133,4.223671,10.885844
144.047107,22.516818,8.61757,7.860141,2.056795,3.006516,7.330771
216.69077,49.531761,13.208368,4.89905,4.377521,7.640848,11.705035
43.644041,19.490885,8.57347,6.478648,3.063778,2.858227,3.418415
814.79413,87.202404,28.008382,51.613104,5.403726,3.144724,11.441817
275.484231,34.068233,10.52714,34.490003,2.554918,3.596395,16.896099
106.248173,12.469662,4.377391,8.074171,3.088163,3.229932,9.160122
77.984503,5.527635,8.569588,6.262436,2.484395,3.181378,3.985516
99.508343,10.276793,5.397297,6.684105,3.09273,2.859616,6.426495
607.379366,517.414959,123.846076,143.122204,20.632628,15.567533,8.555291
316.806956,83.567241,32.095165,48.12543,5.393363,5.200739,6.249087
871.535169,138.086934,39.097447,40.198762,11.383584,6.996593,6.969018
820.482548,97.064871,49.393387,62.917288,5.027776,3.32654,3.685654
90.452454,9.255939,3.481415,3.772509,2.008894,1.968676,2.276121
156.938693,45.250175,6.7867,9.21647,2.289654,1.996099,3.651123
291.09111,46.982852,21.711068,10.937918,5.658928,3.289838,11.467856
329.806376,39.343384,17.811231,4.555015,3.07555,3.365832,4.453066
345.131881,130.482654,44.772502,50.379595,15.385828,7.049397,8.614936
580.636096,57.723741,26.894267,13.789224,2.988909,5.641953,4.220708
619.90322,99.008403,46.13405,31.792187,24.166169,3.253685,4.530039
1004.80809,392.313255,219.187038,90.490291,12.762154,118.791417,17.200435
214.680986,83.269791,24.641816,22.809109,5.294628,4.600067,6.569745
222.650084,21.757634,5.510864,13.045193,4.580195,3.190502,3.497991
771.332648,110.692913,44.029928,27.917986,16.520215,3.060517,11.180266
210.797412,20.025514,14.368185,21.639513,8.643553,2.848166,7.334638
546.771293,101.339742,29.430469,17.762797,4.403146,3.727172,8.961611
1455.13146,785.200309,250.637714,160.903924,5.333787,2.234949,23.379015
1051.102387,33.857211,36.392957,18.696897,8.24323,2.928216,5.302219
247.405451,53.516951,19.696185,18.156461,4.514372,2.909832,3.352308
1473.55961,101.517239,55.613042,53.691654,34.587378,43.085462,45.319214
76.414151,53.393243,12.274344,17.983619,1.556241,1.509006,2.110943
1765.820175,365.737496,135.599299,77.843341,20.686207,22.010487,11.022373
378.930211,59.99992,33.029282,10.071251,9.39148,7.2211,5.964258
1173.636099,99.184204,26.813808,13.481368,7.325819,7.421737,8.262428
612.952411,63.943786,46.473169,39.372427,2.153738,1.874083,35.506451
201.037017,25.31292,11.42187,20.320281,3.484601,2.562005,6.667518
209.267967,141.185703,107.013094,103.511776,56.255179,23.238241,5.339424
254.906971,144.258801,123.459722,169.935338,15.773757,15.409079,24.395695
572.635625,75.110846,27.22571,43.782781,3.806273,2.51458,3.324893
728.047267,171.585666,156.059938,181.026269,67.923546,29.753225,46.491246
1262.609126,206.392718,93.633487,64.754958,31.797435,6.608466,73.936456
1347.420353,271.519809,79.083401,108.474596,20.609317,13.345582,27.881191
1971.354955,1185.407698,338.635498,203.595784,43.431318,15.98927,726.639154
472.033429,67.06429,17.523433,21.917214,5.147106,9.021791,16.481762
338.253094,131.941369,44.554007,38.10683,3.864912,6.537763,14.38038
4333.423887,2210.583296,572.481437,808.927259,39.802319,11.623535,41.11831
594.996863,89.188887,39.500072,48.395437,23.805305,15.077619,19.662838
2029.643622,599.78992,174.067075,237.943964,3.784127,7.570744,61.65812
1846.65775,296.781211,48.25467,91.209392,14.941204,7.739229,4.427856
1676.550709,290.221501,72.722603,94.713296,31.189417,16.909469,20.963204
2507.379773,351.166615,137.936017,82.099367,13.41783,22.175799,25.161943
